title,date,url,day_of_week,days_to_rs,days_since_last_pr,dsl_pr_rolling_10avg
"Net Element Inc., Mullen Automotive Announce Receipt of Conditional Approval to List on Nasdaq Capital Markets",2021-10-31,https://news.mullenusa.com/net-element-inc.-mullen-automotive-announce-receipt-of-conditional-approval-to-list-on-nasdaq-capital-markets,Sunday,550,3.0,31.7
Mullen Adds Vehicle Engineering and Homologation Expertise to Drive Efficiency and Decrease Time to Market,2021-10-28,https://news.mullenusa.com/mullen-adds-vehicle-engineering-and-homologation-expertise-to-drive-efficiency-and-decrease-time-to-market,Thursday,553,1.0,34.9
Mullen Receives Conditional Approval to List on Nasdaq Capital Markets,2021-10-27,https://news.mullenusa.com/mullen-receives-conditional-approval-to-list-on-nasdaq-capital-markets,Wednesday,554,13.0,33.6
Mullen FIVE EV Crossover Nominated for Top EV as Part of 2021 LA Auto Show’s ZEVA Awards,2021-10-14,https://news.mullenusa.com/mullen-five-ev-crossover-nominated-for-top-ev-as-part-of-2021-la-auto-shows-zeva-awards,Thursday,567,23.0,32.4
"Mullen and CCRC Group’s Subsidiary, Tenglong Automotive, Sign Definitive Agreement for Class 1 and Class 2 EV Cargo Vans for Assembly and Sales in US and Mexico Markets",2021-09-21,https://news.mullenusa.com/mullen-and-ccrc-groups-subsidiary-tenglong-automotive-sign-definitive-agreement-for-class-1-and-class-2-ev-cargo-vans-for-assembly-and-sales-in-us-and-mexico-market,Tuesday,590,55.0,30.1
Mullen Provides Shareholder Update,2021-07-28,https://news.mullenusa.com/mullen-provides-shareholder-update,Wednesday,645,132.0,43.6
Mullen Set to Rock ’n’ Roll in Memphis,2021-03-18,https://news.mullenusa.com/mullen-set-to-rock-n-roll-in-memphis,Thursday,777,7.0,47.7
"Mullen Technologies Announces Purchase of Advanced Engineering and Manufacturing Center in Tunica, MS",2021-03-11,https://news.mullenusa.com/mullen-technologies-announces-purchase-of-advanced-engineering-and-manufacturing-center-in-tunica-ms,Thursday,784,3.0,52.8
Mullen and NexTech Batteries Will Deliver the Most Advanced Lithium Sulfur Battery Technology Available Today,2021-03-08,https://news.mullenusa.com/mullen-and-nextech-batteries-will-deliver-the-most-advanced-lithium-sulfur-battery-technology-available-today,Monday,787,46.0,48.3
Former Tesla Lead for Advanced Manufacturing Group Joins Mullen Automotive as VP of EV Manufacturing.,2021-01-21,https://news.mullenusa.com/former-tesla-lead-for-advanced-manufacturing-group-joins-mullen-automotive-as-vp-of-ev-manufacturing,Thursday,833,22.0,47.7
"Mullen Technologies Receives Letter of Intent for Purchase Order of 1,500 MX-05 Electric Vehicles",2020-12-30,https://news.mullenusa.com/mullen-technologies-receives-letter-of-intent-for-purchase-order-of-1500-mx-05-electric-vehicles,Wednesday,855,15.0,49.1
NETE: Q3 2020 Revenues Improve Despite Continued Shutdowns in NY and California,2020-12-15,https://news.mullenusa.com/nete-q3-2020-revenues-improve-despite-continued-shutdowns,Tuesday,870,33.0,48.8
"NETE: Net Element Announces LOI for Reverse Merger With Mullen Technologies, Maker of EVs",2020-11-12,https://news.mullenusa.com/net-element-announces-loi-for-reverse-merger-with-mullen-technologies,Thursday,903,-0.0,51.5
Mullen Technologies Building SUV facility in California,2020-11-12,https://news.mullenusa.com/mullen-technologies-building-suv-facility-in-california,Thursday,903,11.0,51.9
Mullen Technologies is Now Accepting Pre-Orders for its MX-05 Pure Electric All-Wheel Drive SUV,2020-11-01,https://news.mullenusa.com/mullen-technologies-is-now-accepting-pre-orders-for-its-mx-05-pure-electric-all-wheel-drive-suv,Sunday,914,32.0,49.2
Mullen Technologies to Begin Construction of Electric Vehicle Pilot Facility,2020-09-30,https://news.mullenusa.com/mullen-technologies-to-begin-construction-of-electric-vehicle-pilot-facility,Wednesday,946,267.0,23.5
Mullen Technologies Launches Mullen Funding Corporation for Captive Finance,2020-01-07,https://news.mullenusa.com/mullen-technologies-launches-mullen-funding-corporation-for-captive-finance,Tuesday,1213,48.0,20.5
Mullen Technologies Adds Engineering and Finance Depth as Business Scales,2019-11-20,https://news.mullenusa.com/mullen-technologies-adds-engineering-and-finance-depth-as-business-scales,Wednesday,1261,54.0,16.3
Mullen Providing Aerial Coverage and Commercials for Major NFL and NASCAR Events This Weekend,2019-09-27,https://news.mullenusa.com/mullen-providing-aerial-coverage-and-commercials-for-major-nfl-and-nascar-events-this-weekend,Friday,1315,1.0,17.6
Mullen Technologies in Washington DC Presenting EV Initiative to Congressional and Senate Committees,2019-09-26,https://news.mullenusa.com/mullen-in-washington-dc-presenting-ev-initiative-to-congressional-and-senate-committees,Thursday,1316,16.0,17.1
Mullen Technologies Purchases First Northern California Retail Location,2019-09-10,https://news.mullenusa.com/mullen-technologies-purchases-first-northern-california-retail-location,Tuesday,1332,29.0,24.3
Mullen Technologies to Make Pebble Beach Debut with K50 Electric Luxury Sports Car,2019-08-12,https://news.mullenusa.com/mullen-usa-to-make-pebble-beach-debut-with-k50-electric-luxury-sports-car,Monday,1361,30.0,26.0
The Qiantu K50 by Mullen at the 2019 New York City E-Prix,2019-07-13,https://news.mullenusa.com/qiantu-k50-by-mullen-at-the-2019-new-york-city-e-prix,Saturday,1391,27.0,25.88888888888889
Qiantu K50 by Mullen Wins Governor’s Choice Award at Balboa Bay Club Car Show,2019-06-16,https://news.mullenusa.com/qiantu-k50-by-mullen-wins-governor-choice-award-balboa-bay-club,Sunday,1418,15.0,27.25
Mullen Technologies Backing Up Successful Indy 500 With the 2019 Detroit Grand,2019-06-01,https://news.mullenusa.com/mullen-technologies-backing-up-successful-indy-500-with-the-2019-detroit-gran-prix,Saturday,1433,5.0,30.428571428571427
Mullen Technologies Indy 500 TV Ad Breaks The Internet,2019-05-27,https://news.mullenusa.com/mullen-technologies-indy-500-tv-ad,Monday,1438,10.0,33.833333333333336
Mullen Technologies Purchases Premier Dealership Location in Southern California,2019-05-17,https://news.mullenusa.com/mullen-technologies-purchases-premier-dealership-location/,Friday,1448,18.0,37.0
Mullen Technologies to Produce Qiantu K50 in Washington State,2019-04-29,https://news.mullenusa.com/mullen-technologies-qiantu-k50-washington-state,Monday,1466,12.0,43.25
Qiantu K50 by Mullen to Debut at the 2019 New York International Auto Show,2019-04-17,https://news.mullenusa.com/qiantuk50-mullen-2019-new-york-international-auto-show,Wednesday,1478,14.0,53.0
Mullen Technologies Presents the American Debut of the Qiantu K50,2019-04-03,https://news.mullenusa.com/american-debut-qiantu-k50-new-york-international-autoshow,Wednesday,1492,11.0,74.0
The “Future” of Electric Supercars Arrives in the United States,2019-03-23,https://news.mullenusa.com/future-of-electric-supercars-in-usa/,Saturday,1503,101.0,47.0
Mullen Technologies & Qiantu Motor Signed Partnership Agreement,2018-12-12,https://news.mullenusa.com/mullen-technologies-and-qiantu-motor-signed-partnership-agreement,Wednesday,1604,47.0,
CarHub Now a Subsidiary of Mullen Technologies,2018-10-26,https://news.mullenusa.com/carhub-acquired-by-mullen,Friday,1651,,
