date,real_outstanding_shares,rs_adjusted_os,Open,High,Low,Close,Volume,Dividends,Stock Splits,market_capitalization
2022-02-04,,1327636.8484848486,68.5,69.0,63.25,64.25,21764,0.0,0.0,85300667.51515153
2022-02-07,,1341647.878787879,63.5,65.75,54.5,55.75,64076,0.0,0.0,74796869.24242425
2022-02-08,,1355658.9090909092,55.75,55.75,51.75,53.25,46916,0.0,0.0,72188836.9090909
2022-02-09,,1369669.9393939395,55.0,56.25,46.0,47.0,127708,0.0,0.0,64374487.151515156
2022-02-10,,1383680.9696969697,46.75,50.25,42.5,43.25,118900,0.0,0.0,59844201.93939394
2022-02-11,34942304.0,1397692.0,42.25,43.0,31.25,33.5,242756,0.0,0.0,46822682.0
2022-02-14,,1797435.4,33.25,34.0,26.25,26.75,274600,0.0,0.0,48081396.949999996
2022-02-15,,2197178.8,27.75,28.75,25.25,25.75,404208,0.0,0.0,56577354.099999994
2022-02-16,,2596922.2,24.0,24.75,20.0,21.75,727184,0.0,0.0,56483057.85
2022-02-17,,2996665.6,22.25,23.25,19.25,19.5,729192,0.0,0.0,58434979.2
2022-02-18,,3396409.0,18.75,19.0,15.25,15.75,1173416,0.0,0.0,53493441.75
2022-02-22,,3796152.4000000004,16.0,20.0,14.75,15.25,2326864,0.0,0.0,57891324.10000001
2022-02-23,,4195895.800000001,18.75,20.0,15.5,15.75,4084276,0.0,0.0,66085358.85000001
2022-02-24,,4595639.2,13.25,15.5,13.0,15.5,1889960,0.0,0.0,71232407.60000001
2022-02-25,,4995382.6,17.75,21.0,16.25,17.25,4301240,0.0,0.0,86170349.85
2022-02-28,,5395126.0,25.0,48.75,23.75,42.25,25260392,0.0,0.0,227944073.5
2022-03-01,,5794869.4,42.5,44.0,21.5,25.75,20161708,0.0,0.0,149217887.05
2022-03-02,,6194612.800000001,28.0,29.5,22.75,24.5,7699688,0.0,0.0,151768013.60000002
2022-03-03,,6594356.2,24.25,25.5,21.75,22.25,5796916,0.0,0.0,146724425.45000002
2022-03-04,,6994099.600000001,23.0,23.75,18.25,19.75,6206048,0.0,0.0,138133467.10000002
2022-03-07,,7393843.0,19.25,30.5,19.0,26.5,10316520,0.0,0.0,195936839.5
2022-03-08,,7793586.4,30.25,36.0,25.5,31.0,8595672,0.0,0.0,241601178.4
2022-03-09,,8193329.800000001,31.25,33.0,27.75,28.75,4425972,0.0,0.0,235558231.75000003
2022-03-10,,8593073.2,28.5,28.75,25.0,26.75,3434884,0.0,0.0,229864708.1
2022-03-11,,8992816.600000001,25.25,37.5,23.5,33.75,10060524,0.0,0.0,303507560.25000006
2022-03-14,,9392560.0,45.25,52.25,38.5,44.25,21308672,0.0,0.0,415620780.0
2022-03-15,,9792303.4,41.5,49.0,39.25,40.0,9180376,0.0,0.0,391692136.0
