date,insider,insider_first,insider_last,insider_full_name,insider_position,transaction,type,value,shares,shares_owned,sale_price_per_share,cumulative_sales_value,cumulative_shares,Open,High,Low,Close,Volume,Dividends,Stock Splits,post_reverse_split_shares,days_since_start,cumulative_salary,total_compensation,holdings_market_value,net_worth
2022-10-13,MICHERY DAVID,David,Michery,David Michery,Chief Executive Officer,Stock Gift at price 0.00 per share.,Direct,0.0,-17953738.0,43774395.0,,2806867.0,43774395.0,6.0,6.25,5.75,6.0,2345884,0.0,0.0,1750975.8,332,682190.28,3489057.2800000003,10505854.8,13994912.080000002
2022-10-14,,,,,,,,,,,,2806867.0,43774395.0,6.25,6.75,5.75,5.75,3101088,0.0,0.0,1750975.8,333,684245.07,3491112.07,10068110.85,13559222.92
2022-10-17,,,,,,,,,,,,2806867.0,43774395.0,6.0,6.25,5.75,5.75,2239800,0.0,0.0,1750975.8,336,690409.44,3497276.44,10068110.85,13565387.29
2022-10-18,,,,,,,,,,,,2806867.0,43774395.0,6.0,6.25,5.25,5.5,4148660,0.0,0.0,1750975.8,337,692464.23,3499331.23,9630366.9,13129698.13
2022-10-19,,,,,,,,,,,,2806867.0,43774395.0,5.5,10.25,5.5,8.5,26352352,0.0,0.0,1750975.8,338,694519.02,3501386.02,14883294.3,18384680.32
2022-10-20,,,,,,,,,,,,2806867.0,43774395.0,10.25,11.5,8.5,8.75,14298104,0.0,0.0,1750975.8,339,696573.8099999999,3503440.81,15321038.25,18824479.06
2022-10-21,,,,,,,,,,,,2806867.0,43774395.0,8.75,9.5,8.0,9.5,7856760,0.0,0.0,1750975.8,340,698628.6,3505495.6,16634270.1,20139765.7
2022-10-24,,,,,,,,,,,,2806867.0,43774395.0,11.75,13.5,11.25,12.5,20371164,0.0,0.0,1750975.8,343,704792.97,3511659.9699999997,21887197.5,25398857.47
2022-10-25,,,,,,,,,,,,2806867.0,43774395.0,15.0,15.25,11.5,12.75,18466960,0.0,0.0,1750975.8,344,706847.76,3513714.76,22324941.45,25838656.21
2022-10-26,,,,,,,,,,,,2806867.0,43774395.0,12.75,14.0,11.75,13.5,11174052,0.0,0.0,1750975.8,345,708902.5499999999,3515769.55,23638173.3,27153942.85
2022-10-27,,,,,,,,,,,,2806867.0,43774395.0,14.0,14.75,13.0,13.5,10955504,0.0,0.0,1750975.8,346,710957.34,3517824.34,23638173.3,27155997.64
2022-10-28,,,,,,,,,,,,2806867.0,43774395.0,12.25,13.25,11.75,13.0,7589232,0.0,0.0,1750975.8,347,713012.13,3519879.13,22762685.400000002,26282564.53
